"","TYPEQU","lambert_x","lambert_y","DEPCOM"
"286","C104",349156.2,6790525,35238
"287","C104",351800.4,6786774.3,35238
"288","C104",351572.6,6787384.2,35238
"289","C104",352937.8,6789418.9,35238
"290","C104",352838.8,6790300.7,35238
"291","C104",352136,6788929.8,35238
"292","C104",351953.4,6788825.3,35238
"293","C104",351000,6789730.3,35238
"294","C104",352460.3,6786210.5,35238
"295","C104",352771.8,6786266.9,35238
"296","C104",354100.5,6786914.3,35238
"297","C104",352461.5,6787027.7,35238
"298","C104",353441.3,6786456.8,35238
"299","C104",353681.2,6786800.6,35238
"300","C104",351943.6,6789788,35238
"301","C104",350778.9,6788783.4,35238
"302","C104",352342.2,6789640.9,35238
"303","C104",350261.6,6790754.8,35238
"304","C104",352862.4,6788180.6,35238
"305","C104",349916.2,6788456.8,35238
"306","C104",353882.3,6790143.9,35238
"307","C104",352327.6,6790263.6,35238
"308","C104",353450.3,6791440.3,35238
"309","C104",350020.7,6790193.4,35238
"310","C104",353383.6,6788230.2,35238
"311","C104",354340.2,6787926.8,35238
"312","C104",351725,6789950.5,35238
"313","C104",351036.2,6787894.5,35238
"314","C104",351406.6,6788921.9,35238
"315","C104",353205.2,6789463.6,35238
"316","C104",353814.5,6786297.6,35238
"317","C104",349719,6789140.5,35238
"318","C104",349677.6,6790765.8,35238
"319","C104",352988.8,6786541.2,35238
"320","C104",353358.6,6790794.1,35238
"321","C104",354258.1,6787056.3,35238
"322","C104",349265.9,6789435.2,35238
"323","C104",351659.9,6788341.4,35238
"324","C104",351870.4,6789645.9,35238
"325","C104",350911,6786927.8,35238
"326","C104",352876.7,6791691.3,35238
"327","C104",353001.4,6792293,35238
"328","C104",349852.6,6788738,35238
"329","C104",353720.6,6787604.4,35238
"330","C104",353147.4,6791237.2,35238
"331","C104",351647.6,6787918.5,35238
"332","C104",351788,6787892.9,35238
"333","C104",354117.6,6789725.9,35238
"334","C104",351486.4,6790700.6,35238
"335","C104",353469.9,6787306.2,35238
"336","C104",350494.6,6791503,35238
"337","C104",350620.1,6789441.2,35238
"338","C104",353534.5,6788764.2,35238
"339","C104",354640.9,6786786.3,35238
"340","C104",351767.8,6789259.4,35238
"341","C104",352704.6,6787419.4,35238
"342","C104",351576.1,6788746.4,35238
"343","C104",351014,6787314.2,35238
"696","D301",355473.79,6791246.39,35238
"697","D301",353889.27,6786229.2,35238
"698","D301",352995.97,6791972.83,35238
"699","D301",352102.09,6786536.58,35238
"700","D301",352361.63,6788850.44,35238
"701","D301",349860.82,6790400.07,35238
"702","D301",349831.58,6790789.29,35238
"703","D301",353177.28,6786281.23,35238
"704","D301",352368.18,6787326.87,35238
"705","D301",351750,6789250,35238
"706","D301",350777.26,6786509.42,35238
"707","D301",351545.77,6789142.76,35238
"708","D301",352340.64,6788478.11,35238
"709","B302",351850,6789650,35238
"710","B302",351850,6789450,35238
"711","B302",351850,6789650,35238
"712","B302",351850,6789550,35238
"713","B302",351980.12,6788565.5,35238
"714","B302",351889.5,6788586.22,35238
"715","B302",351830.68,6788542.48,35238
"716","B302",351830.68,6788542.48,35238
"717","B302",351830.68,6788542.48,35238
"718","B302",351830.68,6788542.48,35238
"719","B302",351830.68,6788542.48,35238
"720","B302",351830.68,6788542.48,35238
"721","B302",351830.68,6788542.48,35238
"722","B302",351830.68,6788542.48,35238
"723","B302",351830.68,6788542.48,35238
"724","B302",351830.68,6788542.48,35238
"725","B302",351830.68,6788542.48,35238
"726","B302",351830.68,6788542.48,35238
"727","B302",351830.68,6788542.48,35238
"728","D301",353816.09,6786921.41,35238
"729","B302",352055.12,6789345.35,35238
"730","D301",354743.74,6787069.4,35238
"731","B302",352200.66,6789238.49,35238
"732","B302",351931.19,6789641.67,35238
"733","B302",351821.3,6789352.76,35238
"734","B302",352149.79,6789132.48,35238
"735","B302",352149.79,6789132.48,35238
